DATE,Real Median Personal Income index,Fed Funds,Unemployment,US Housing Price index
1/1/74,100,10.5025,5.641666667,199.72299
1/1/75,98.10467,5.824166667,8.475,217.59003
1/1/76,98.30103,5.045,7.7,245.01385
1/1/77,99.0438,5.5375,7.05,270.91413
1/1/78,98.2242,7.930833333,6.066666667,309.41828
1/1/79,95.52634,11.19416667,5.85,347.64543
1/1/80,94.07496,13.35583333,7.175,358.72576
1/1/81,92.3205,16.37833333,7.616666667,381.99446
1/1/82,93.29804,12.25833333,9.708333333,383.51801
1/1/83,95.12507,9.086666667,9.6,417.59003
1/1/84,97.87416,10.225,7.508333333,442.93629
1/1/85,99.99146,8.100833333,7.191666667,466.89751
1/1/86,103.07778,6.805,7,509.8338
1/1/87,104.45659,6.6575,6.175,580.0554
1/1/88,107.74353,7.568333333,5.491666667,621.74515
1/1/89,110.58226,9.216666667,5.258333333,667.17452
1/1/90,109.39127,8.099166667,5.616666667,677.56233
1/1/91,107.79049,5.6875,6.85,664.68144
1/1/92,106.70622,3.521666667,7.491666667,672.43767
1/1/93,107.75207,3.0225,6.908333333,700.83102
1/1/94,109.07539,4.201666667,6.1,722.57618
1/1/95,112.06779,5.836666667,5.591666667,739.47368
1/1/96,114.44549,5.298333333,5.408333333,777.00831
1/1/97,119.46982,5.46,4.941666667,803.3241
1/1/98,125.39486,5.353333333,4.5,841.68975
1/1/99,126.66695,4.97,4.216666667,887.11911
1/1/00,128.0543,6.235833333,3.966666667,928.25485
1/1/01,126.92735,3.8875,4.741666667,959.00277
1/1/02,126.00956,1.666666667,5.783333333,1030.60942
1/1/03,126.29557,1.1275,5.991666667,1064.40443
1/1/04,125.91138,1.349166667,5.541666667,1208.58726
1/1/05,127.61462,3.213333333,5.083333333,1310.52632
1/1/06,131.08085,4.964166667,4.608333333,1350.41551
1/1/07,131.56749,5.019166667,4.616666667,1357.06371
1/1/08,126.16751,1.9275,5.8,1271.74515
1/1/09,124.79723,0.16,9.283333333,1194.73684
1/1/10,123.00435,0.175,9.608333333,1233.79501
1/1/11,121.08768,0.101666667,8.933333333,1245.98338
1/1/12,120.43456,0.14,8.075,1354.01662
1/1/13,121.73653,0.1075,7.358333333,1474.93075
1/1/14,124.45146,0.089166667,6.175,1583.241
1/1/15,130.71801,0.1325,5.266666667,1629.63989
1/1/16,132.7542,0.395,4.866666667,1690.44321
1/1/17,132.7542,1.001666667,4.35,1786.28809