Date,West Income,NorthEast Income,South Income,MidWest Income,NorthEast HP,MidWest HP,West HP,South HP,Avg West HP Chg,West Income Chg,Avg West HP Chg (Norm),West Income Chg (Norm),Avg NorthEast HP Chg,NorthEast Income Chg,Avg NorthEast HP Chg (Norm),NorthEast Income Chg (Norm),Avg MidWest HP Chg,MidWest Income Chg,Avg MidWest HP Chg (Norm),MidWest Income Chg (Norm),Avg South HP Chg,South Income Chg,Avg South HP Chg (Norm),South Income Chg (Norm)
1976,68904,67903,60730,69804,50125,48725,51925,43775,0.174109666,0.025326627,0.114512674,0.014498745,0.061970339,-0.002160176,-0.003299494,-0.014751679,0.125288684,0.041866297,0.074816327,0.03199902,0.106127606,0.03292853,0.053150527,0.021738932
1977,69769,70404,62512,69577,54600,55325,61275,48025,0.180067405,0.012553698,0.120470413,0.001725816,0.089276808,0.036831951,0.024006975,0.024240449,0.135454079,-0.003251963,0.084981723,-0.013119239,0.097087379,0.029342994,0.0441103,0.018153396
1978,73517,71273,64365,71526,62800,64350,70650,55650,0.152998776,0.053720134,0.093401784,0.042892252,0.15018315,0.012343049,0.084913318,-0.000248454,0.163126977,0.02801213,0.112654621,0.018144854,0.158771473,0.029642309,0.105794394,0.018452711
1979,75181,73252,64740,72311,72050,72950,82875,63525,0.173036093,0.022634221,0.113439101,0.011806339,0.147292994,0.027766475,0.082023161,0.015174973,0.133644134,0.01097503,0.083171778,0.001107753,0.141509434,0.005826148,0.088532355,-0.00536345
1980,73106,70516,63034,69152,79475,74475,89875,69100,0.084464555,-0.027600059,0.024867563,-0.038427941,0.103053435,-0.037350516,0.037783602,-0.049942019,0.020904729,-0.043686299,-0.029567627,-0.053553576,0.087760724,-0.02635156,0.034783645,-0.037541158
1981,71364,69309,63169,67256,87950,82250,96075,75950,0.068984701,-0.023828414,0.009387709,-0.034656296,0.106637307,-0.017116683,0.041367475,-0.029708186,0.104397449,-0.027417862,0.053925093,-0.037285139,0.099131693,0.002141701,0.046154614,-0.009047896
1982,71206,69483,63269,67009,88625,87875,92625,78225,-0.035909446,-0.002214001,-0.095506438,-0.013041884,0.007674815,0.002510496,-0.057595017,-0.010081006,0.068389058,-0.003672535,0.017916702,-0.013539812,0.029953917,0.001583055,-0.023023162,-0.009606543
1983,70217,71153,63802,66409,96425,97575,97550,82875,0.05317139,-0.013889279,-0.006425602,-0.024717161,0.088011283,0.024034656,0.022741451,0.011443153,0.110384068,-0.008954021,0.059911712,-0.018821298,0.059443912,0.008424347,0.006466833,-0.002765251
1984,74075,74082,66584,68130,107425,107725,109200,85600,0.119425935,0.054943959,0.059828943,0.044116077,0.114078299,0.041164814,0.048808467,0.028573311,0.104022547,0.025915162,0.053550191,0.016047885,0.032880845,0.043603649,-0.020096234,0.032414051
1985,76838,77936,66614,69888,120800,96000,111900,89025,0.024725275,0.037300034,-0.034871717,0.026472152,0.124505469,0.052023433,0.059235636,0.039431931,-0.108841959,0.025803611,-0.159314315,0.015936334,0.040011682,0.000450559,-0.012965396,-0.010739039
1986,78793,81553,70048,72566,151450,102800,116875,95275,0.044459339,0.02544314,-0.015137653,0.014615258,0.253725166,0.046409875,0.188455333,0.033818372,0.070833333,0.038318452,0.020360977,0.028451176,0.070204999,0.051550725,0.01722792,0.040361127
1987,80205,83376,71122,74790,172275,116100,135550,106275,0.159786096,0.017920374,0.100189104,0.007092492,0.137504127,0.022353561,0.072234294,0.009762059,0.129377432,0.030647962,0.078905076,0.020780685,0.115455261,0.015332344,0.062478182,0.004142746
1988,79993,86264,70816,76244,181175,123050,156000,114775,0.150866839,-0.002643227,0.091269847,-0.013471109,0.051661588,0.034638265,-0.013608245,0.022046762,0.059862188,0.019441102,0.009389832,0.009573825,0.079981181,-0.004302466,0.027004102,-0.015492064
1989,83283,90585,72108,77537,188625,130100,173575,121275,0.112660256,0.041128599,0.053063264,0.030300717,0.041120464,0.05009042,-0.024149369,0.037498917,0.057293783,0.016958712,0.006821427,0.007091435,0.056632542,0.018244465,0.003655463,0.007054867
1990,82647,86144,70493,77355,190225,131275,181150,122425,0.043641077,-0.007636613,-0.015955915,-0.018464495,0.008482439,-0.049025777,-0.056787394,-0.06161728,0.009031514,-0.002347266,-0.041440842,-0.012214543,0.009482581,-0.02239696,-0.043494498,-0.033586558
1991,80418,84915,69213,75162,189475,134700,175625,123100,-0.030499586,-0.026970126,-0.090096578,-0.037798008,-0.003942699,-0.014266809,-0.069212532,-0.026858312,0.026090269,-0.028349816,-0.024382088,-0.038217093,0.00551358,-0.018157831,-0.047463499,-0.029347429
1992,81234,83677,69301,74793,196750,136500,158575,127425,-0.097081851,0.010146982,-0.156678843,-0.0006809,0.038395567,-0.014579285,-0.026874266,-0.027170788,0.013363029,-0.004909396,-0.037109327,-0.014776672,0.035134037,0.001271437,-0.017843041,-0.00991816
1993,84461,88119,72815,76343,184150,143225,162125,132925,0.022386883,0.039724746,-0.037210109,0.028896864,-0.064040661,0.053085077,-0.129310493,0.040493574,0.049267399,0.020723865,-0.001204957,0.010856588,0.043162645,0.050706339,-0.009814434,0.039516741
1994,83332,92293,74735,78951,199900,152000,169350,135900,0.044564379,-0.013367116,-0.015032613,-0.024194998,0.085528102,0.047367764,0.020258269,0.034776261,0.061267237,0.034161613,0.010794881,0.024294336,0.022381042,0.026368193,-0.030596037,0.015178596
1995,86355,88962,75182,84027,215275,156525,169250,140350,-0.000590493,0.03627658,-0.060187485,0.025448698,0.076913457,-0.036091578,0.011643624,-0.048683081,0.029769737,0.064293043,-0.020702619,0.054425766,0.032744665,0.005981133,-0.020232414,-0.005208464
1996,85527,93805,77116,84307,228225,158075,186325,142925,0.100886263,-0.009588327,0.041289271,-0.020416209,0.060155615,0.054438974,-0.005114218,0.041847471,0.009902571,0.003332262,-0.040569785,-0.006535014,0.01834699,0.025724243,-0.034630089,0.014534645
1997,88272,95735,80865,88007,234100,169625,198150,149850,0.063464377,0.032095128,0.003867385,0.021267246,0.02574214,0.020574596,-0.039527692,0.007983093,0.073066582,0.043887222,0.022594226,0.034019945,0.048451985,0.048615073,-0.004525093,0.037425476
1998,91273,97805,83530,91807,240500,177975,200450,158200,0.011607368,0.033997191,-0.047989624,0.023169308,0.027338744,0.021622186,-0.037931089,0.009030683,0.049226234,0.043178384,-0.001246122,0.033311107,0.055722389,0.032956162,0.00274531,0.021766564
1999,93464,102981,85236,93782,247575,185850,223000,170625,0.112496882,0.024004908,0.05289989,0.013177026,0.029417879,0.05292163,-0.035851953,0.040330127,0.044247788,0.021512521,-0.006224569,0.011645244,0.078539823,0.0204238,0.025562744,0.009234202
2000,95884,103988,86533,95453,274775,197300,239100,176650,0.072197309,0.025892322,0.012600317,0.01506444,0.109865697,0.009778503,0.044595865,-0.002813,0.061608824,0.017817918,0.011136468,0.007950641,0.035311355,0.015216575,-0.017665723,0.004026977
2001,94168,105169,86219,91745,294275,197925,248675,183150,0.040046006,-0.017896625,-0.019550986,-0.028724507,0.070967155,0.01135708,0.005697322,-0.001234423,0.003167765,-0.038846343,-0.047304591,-0.04871362,0.036795924,-0.003628673,-0.016181155,-0.014818271
2002,93303,101737,84962,91896,302950,206225,275425,195025,0.107570122,-0.009185711,0.04797313,-0.020013593,0.029479229,-0.03263319,-0.035790604,-0.045224693,0.041935076,0.001645866,-0.00853728,-0.00822141,0.064837565,-0.014579153,0.011860486,-0.025768751
2003,94898,102272,83926,92187,315975,215300,306850,205875,0.114096396,0.017094842,0.054499404,0.006266959,0.042993893,0.005258657,-0.022275939,-0.007332846,0.044005334,0.003166623,-0.006467022,-0.006700654,0.055633893,-0.012193687,0.002656814,-0.023383284
2004,94163,103070,85335,89926,371450,238875,340850,226500,0.110803324,-0.007745158,0.051206332,-0.01857304,0.175567687,0.007802722,0.110297855,-0.004788781,0.109498374,-0.024526235,0.059026018,-0.034393511,0.100182149,0.016788599,0.047205071,0.005599002
2005,96140,103290,85385,90588,398100,245325,386125,240250,0.13282969,0.020995508,0.073232698,0.010167626,0.071745861,0.002134472,0.006476028,-0.010457031,0.02700157,0.007361608,-0.023470786,-0.002505668,0.060706402,0.000585926,0.007729323,-0.010603672
2006,98571,106790,87193,91471,427400,255825,409325,254125,0.06008417,0.025286041,0.000487178,0.014458159,0.073599598,0.033885178,0.008329765,0.021293675,0.042800367,0.009747428,-0.007671989,-0.000119849,0.057752341,0.021174679,0.004775263,0.009985082
2007,98655,102324,87074,91822,440600,252500,401300,265750,-0.019605448,0.000852178,-0.07920244,-0.009975704,0.030884417,-0.041820395,-0.034385415,-0.054411898,-0.012997166,0.003837282,-0.063469522,-0.006029995,0.045745204,-0.001364788,-0.007231875,-0.012554386
2008,97693,101260,84047,87233,463750,245950,362150,250075,-0.097557937,-0.009751153,-0.157154929,-0.020579035,0.052541988,-0.010398343,-0.012727844,-0.022989845,-0.025940594,-0.04997713,-0.07641295,-0.059844406,-0.058984008,-0.034763534,-0.111961086,-0.045953132
2009,94995,104333,82560,85819,412850,226650,321125,238675,-0.113281789,-0.027617127,-0.172878781,-0.038445009,-0.109757412,0.03034762,-0.175027245,0.017756117,-0.078471234,-0.016209462,-0.12894359,-0.026076739,-0.045586324,-0.017692482,-0.098563403,-0.028882079
2010,91029,99581,82388,85766,421525,233500,312900,243375,-0.025613079,-0.041749566,-0.085210071,-0.052577448,0.021012474,-0.045546471,-0.044257358,-0.058137974,0.030222811,-0.000617579,-0.020249546,-0.010484856,0.01969205,-0.002083333,-0.033285029,-0.013272931
2011,91614,99105,83220,85970,383500,238875,298925,244850,-0.044662832,0.006426523,-0.104259824,-0.004401359,-0.090208173,-0.004780028,-0.155478005,-0.017371531,0.023019272,0.002378565,-0.027453084,-0.007488712,0.006060606,0.010098558,-0.046916473,-0.00109104
2012,92942,99102,80999,88987,417650,261500,318050,263200,0.063979259,0.014495601,0.004382267,0.003667719,0.08904824,-3.03E-05,0.023778407,-0.012621774,0.094714809,0.035093637,0.044242453,0.025226361,0.074943843,-0.026688296,0.021966764,-0.037877894
2013,96951,104266,83931,93231,473875,295875,370825,288225,0.165933029,0.043134428,0.106336037,0.032306546,0.134622291,0.052107929,0.069352459,0.039516426,0.131453155,0.04769236,0.080980799,0.037825083,0.095079787,0.036197978,0.042102709,0.02500838
2014,94259,103648,86103,90621,535975,306675,401450,309225,0.082586126,-0.027766604,0.022989133,-0.038594486,0.131047217,-0.005927148,0.065777384,-0.018518651,0.036501901,-0.02799498,-0.013970455,-0.037862257,0.072859745,0.0258784,0.019882666,0.014688802
2015,98701,107536,89150,95469,568600,315275,409150,312925,0.019180471,0.047125473,-0.040416521,0.036297591,0.060870376,0.037511578,-0.004399456,0.024920075,0.028042716,0.053497534,-0.02242964,0.043630257,0.011965397,0.035387849,-0.041011681,0.024198252
2016,103493,112601,92050,97885,531925,312000,432425,321400,0.056886228,0.048550673,-0.002710765,0.037722791,-0.064500528,0.047100506,-0.12977036,0.034509003,-0.010387757,0.025306644,-0.060860113,0.015439367,0.027083167,0.032529445,-0.025893912,0.021339847
2017,104233,112951,92896,99707,612175,322700,451400,334425,0.043880442,0.007150242,-0.01571655,-0.00367764,0.150867134,0.003108321,0.085597301,-0.009483182,0.034294872,0.018613679,-0.016177484,0.008746403,0.040525825,0.009190657,-0.012451254,-0.001998941
